address,tx_count,total_in,total_out,final_balance,aliases,fellow_receivers,convergence,incoming_range,outgoing_range,avg_tx,num_reports,type,notes
1A1H1nzSZpQdsKNkvjMZTQhTjcbE8PZ7Gw,4,1180239769,1180239769,0,0,2,0,2240200687,21597820417,727764921.0143,0,1,BitcoinHeist
1A1HvN6FYqJoPchqvW4CUhqsXZLqezA5CS,2,187950000,187950000,0,0,1,0,1423949928,27094694884,1277480777.75,0,1,BitcoinHeist
1A1iLJDKTWhx8V68ZQDYFJbzFU2UfQQTgi,8,1029011781,1029011781,0,38,17,2.2353,5480381076,69199800000,1204526227.1681,0,1,BitcoinHeist
1A1m6ZVJpN3HBnS82PokrHLJiZKYv9r5Kt,2,100000000,100000000,0,0,1,0,12675707353,12575694925,5150269226.8,0,1,BitcoinHeist
1A1pQq36vww65XbPHjF9Kj7hnKPhEP5ACR,2,80000000,80000000,0,0,1,0,79920058,50958390,54035104.5714,0,1,BitcoinHeist
1A1xtdfggFvMcTZnX3o4A581yt5TRszCU2,92,258428730,258428730,0,57,40,1.425,24999739538,75055148954,1157101657.3648,0,1,BitcoinHeist
1A2ACn6bveovt71bA3temt4PbEjoxMJBk7,86,4714480009,4714480009,0,133,23,5.7826,9561780099,44139144366,929613615.3745,0,1,BitcoinHeist
1A2JskZUAyQi4XE2FXK9PdUJF6wMHRQpG6,2,100000000,100000000,0,0,1,0,2577567968,2477585348,1111007439.2,0,1,BitcoinHeist
1A2Jv2YnVWZ3nGqFUaiSFkKVE2HdEXg6ub,4,9938425001,9938425001,0,19,21,0.9048,9999999999,9938424999,819384018.5,0,1,BitcoinHeist
1A2KNKq82vkq61S5a8Wwge6NEL7Zbh9GRW,2,250000000,250000000,0,6,3,2,24613471954,24047184791,3170238485.8824,0,1,BitcoinHeist
1A2NFtEDTo5ZEQe4q9oLeGjak7x6UfQie,78,208117976,208117976,0,19,48,0.3958,27999989996,57129763444,1113569956.6713,0,1,BitcoinHeist
1A2P2D5b3VEnuJ21tDoE1TQ8ryRkX9CTBY,2,50000000,50000000,0,0,1,0,398320000,9659955569,441981644.84,0,1,BitcoinHeist
1A2ptbLjp1RVMpRtZrofvXgSteMnsAy9g1,2,56000000,56000000,0,0,7,0,2069110000,324889346,396559745.4545,0,1,BitcoinHeist
1A2to15aerjU1qT1gZc7Fk2g4iGLEzoVD1,2,80000000,80000000,0,0,1,0,38583571710,38503568998,15497406464,0,1,BitcoinHeist
1A2uNTrqFsFrw5Y6jJRM7ZvLeZFqEgsif7,2,200000000,200000000,0,15,4,3.75,1094549010,9995325855,889772012.0833,0,1,BitcoinHeist
1A2VrTUtBHg4ZA7mEv3YEEBNhfVgZmsdsN,2,198000000,198000000,0,19,5,3.8,19867493996,19294773998,2132323157.2759,0,1,BitcoinHeist
1A3Exeah7ZdJc2SNsrhq67t38mPqHLcQxP,2,40000000,40000000,0,0,1,0,21083646580,21043714470,8465417934,0,1,BitcoinHeist
1A3hNaqgTEjJCuYFnnybVEPDJPw7P7xGkG,2,30000000,30000000,0,0,7,0,1805129993,7999098557,424707903.8065,0,1,BitcoinHeist
1A4CrYtsLvy5h8K6BYszVH5Jch2gxmc5ML,12,190236371,190236371,0,35,6,5.8333,2381866390,99998999963,1027769680.069,0,1,BitcoinHeist
1A4K9i1Yc2BmgQRfL6CywdNtmCeTXkqdGb,2,75000000,75000000,0,0,1,0,47337548,27698752,78922049.4,0,1,BitcoinHeist
1A4wNviidUy21kLyL8qssj96pYVdpdREBB,4,160000000,160000000,0,0,2,0,27322690522,27242666241,7179232269.5,0,1,BitcoinHeist
1A5aX3m2C8wGsCUACNV8SkFaRcQYwtR9nn,2,1000000000,1000000000,0,15,0,0,1094549010,9995325855,917056178.75,0,1,BitcoinHeist
1A5finVcBKyZmqP1gxEm9WX1tnHjJuYpNA,2,32000000,32000000,0,0,1,0,21088530,24123765,20536941.4286,0,1,BitcoinHeist
1A5GTUynebSVDiHQibM3Ef5UEHZ1qanZt5,4,568652600,568652600,0,19,2,9.5,768553856,49277795968,1292372091.8269,0,1,BitcoinHeist
1A5RNvqnjGZpZLSkMKYC7exF2cVVYf7GGT,6,140684811,140684811,0,19,3,6.3333,1348659375,47114916893,1468782013.026,0,1,BitcoinHeist
1A5roNGEEomoCeTYXuhymRYQYdCs1hohnj,2,80000000,80000000,0,0,1,0,903805568,823793007,425513801,0,1,BitcoinHeist
1A6Et3GixXHZrxEUjEBUCyQJF7RpDSqGUJ,2,30000000,30000000,0,0,1,0,310010000,9998999897,480531080.12,0,1,BitcoinHeist
1A6fTxQVMsncL7EGRKwXCM7FRKTMpvZzGq,173,1399280529,1399280529,0,38,6,6.3333,9999990000,80743260010,522446054.6432,0,1,BitcoinHeist
1A6Wax31ZkdhPsK2jX2ZEdLBh4vj5FR5S4,2,80000000,80000000,0,0,1,0,57915853,62128028,44494547.375,0,1,BitcoinHeist
1A6YEXtKfXLErv2Hrw5xezuTizj6Le6JPW,2,100000000,100000000,0,0,1,0,3623421837,3523393439,1529358214.4,0,1,BitcoinHeist
1A7aHB7ndZy2ufyuQe2Ybn27HKeL8VBSsW,8,1767180000,1767180000,0,21,23,0.913,2484906575,69199981824,1145691149.3256,0,1,BitcoinHeist
1A7AysoBz8uMyCh9BMRSeLGFhcAHi7rBHF,2,80000000,80000000,0,0,1,0,42601332,63237432,58929934.8333,0,1,BitcoinHeist
1A7kdFa72YckSrc8bBDvzhUSPuQEHLYXBT,24,208434244,208434244,0,19,8,2.375,7888790000,213281632863,1727269734.0326,0,1,BitcoinHeist
1A7re1RgkN4YAPM5PhbpXXLg8jHrd6W8Xm,35,3940086670,3940086670,0,57,110,0.5182,4999993165,39010062978,922331566.447,0,1,BitcoinHeist
1A7w1xwgmSmZThbDCcXuWtqgtfYt3aJfPB,24,227589051,227589051,0,38,11,3.4545,23401607521,41447735859,1194956501.2692,0,1,BitcoinHeist
1A8epUdeMnKjsfkcHm2kBVdQgzTCWDESco,2,41830000,41830000,0,0,1,0,38251792653,38210029423,15334140707.2,0,1,BitcoinHeist
1A8JKBMk2EhdMLyKjTJXwUpMiGjwDXTZaL,2,100000000,100000000,0,0,1,0,24884582145,24784572467,10033818521.6,0,1,BitcoinHeist
1A8KokH2w34Wo7FzVr7eiNVNzEeoxPqbT2,2,80000000,80000000,0,0,1,0,78851403,78765496,35837457.6667,0,1,BitcoinHeist
1A8p68v8eJYoiAsMxUPkFE8Quec6P3AbES,2,100000000,100000000,0,0,1,0,5009495644,4909472728,2083786568.8,0,1,BitcoinHeist
1A8tjo5oMLgJXgWUwLE6gCzxXZdiaK7cNB,480,2527582549,2527578263,4286,133,31,4.2903,13878936244,54189049363,1235172840.8773,0,1,BitcoinHeist
1A9sNY7gBNBom5ZChTRjABJTrXEDsMiiZ4,2,352760000,352760000,0,0,1,0,5595688718,17378237203,1122403671.04,0,1,BitcoinHeist
1A13UzVLP328hNFR22RJiL2KmKTRQgo8UZ,20,1482129000,1482129000,0,38,28,1.3571,2799988547,80548537805,988145240.0279,0,1,BitcoinHeist
1A23HnQfhMpjNeYTZa82ePDgnhmBKXUgQT,4,99365966,99365966,0,0,2,0,99016834,99184726,18095503.4545,0,1,BitcoinHeist
1A24rxMNN7QNNdnUXiRGFcAAD4kE1vfSeG,10,57725419,57725419,0,19,5,3.8,1899989200,18888730047,625659008.5242,0,1,BitcoinHeist
1A52jjio3Rtir6mz89fHGykVXgvXC9HEcM,2,50000000,50000000,0,0,1,0,92070000,42078667,76777549.4,0,1,BitcoinHeist
1A57CTHYA1vj7DY6eBBXBKQShv8RiGMBhd,2,100000000,100000000,0,0,1,0,8920495733,8820467889,3648187662,0,1,BitcoinHeist
1A75Q2nfrdCiC6yzs9Qo9TviCi1C49as1P,2,100000000,100000000,0,0,1,0,8922930118,8822930740,3649155722.8,0,1,BitcoinHeist
1A79Wa8NX2HuZ9RHepQXRYGCDND6Feq5Mt,104,1083901216,1083901216,0,114,6,19,4346124774,107179812905,269739819.6526,0,1,BitcoinHeist
1A249inm1KtMWLDKK24Gs68cFx7dz7aXUR,2,80000000,80000000,0,0,1,0,419980000,339956219,231976756.2,0,1,BitcoinHeist
1A291eyoBBKXK1mEBPNAzfVZXkdoCs8RJ6,2,50000000,50000000,0,0,1,0,399097957,9659117957,425047167.1154,0,1,BitcoinHeist
1A415oZyQnQWLi2VL7L5KjJzQ1dpzhmXFs,2,32000000,32000000,0,0,2,0,34590000,16276375,36374920.7143,0,1,BitcoinHeist
1Aa8UTnbkpCq3ym54kDgi14MUvnM1AQCQU,2,150306000,150306000,0,0,1,0,639003651,22597089198,1063527460.5833,0,1,BitcoinHeist
1AA7fUi58hAKrEV9s9KAwA6EceWeTiq9XS,2,54760000,54760000,0,0,3,0,245240000,196270110,101350761.5714,0,1,BitcoinHeist
1AA45FcZQzWgqaiVarfjdwDXkFuhQWqvfg,2,80000000,80000000,0,0,1,0,34681418,45359262,77860702.8,0,1,BitcoinHeist
1AABcHCRJsgc7D3FTWa524bgrFeN9Vk9BE,2,30000000,30000000,0,0,1,0,339000000,9999010000,462029884.7308,0,1,BitcoinHeist
1AaCoA8kFZxqu6mL5VaWzkUYuQgkqbhP9x,2,100050000,100050000,0,0,1,0,220000,99841300,80118004,0,1,BitcoinHeist
1AAdPLiXZcxR1H7KAgAtnEpcwoh9Ed58D,2,100000000,100000000,0,0,1,0,9525435516,9425433804,3890158276.8,0,1,BitcoinHeist
1AANhoHmYXe163SChvkuZvv4MmTWqVPCY9,42,2290000000,2290000000,0,57,21,2.7143,9999989800,46608462144,688765783.7892,0,1,BitcoinHeist
1AarA8HhytwmRjbYLcbcgLKdAAjc5t7e6N,34,4245135890,4245135890,0,165,40,4.125,9613058073,21471910229,627273749.1041,0,1,BitcoinHeist
1AasisNPshuGH6aZimvrgV4usZrLgdRGWN,2,80000000,80000000,0,0,5,0,105190000,67650000,58916003.7778,0,1,BitcoinHeist
1AaUbiSkKey8dFa94ik1eoYyzG3bw8cVVV,2,125338003,125338003,0,8,2,4,2020962800,2568865552,329006993.8824,0,1,BitcoinHeist
